Date	Precipitation	Snow_Water_Equi	Snow_melt+rain	ETP_Coeff	ETP_Input	LAI	I-Cap	Int. ETi(leaf)	I-Bal	I-Prec	I-Rem	I_ETi(litter)	Bilanz	Content	S-REstn	Inf-Limit	P-linf	Rest-ETA	Balance_soil	ETa	ET-Balance	Seepage	Storage	Surface_runoff	Runoff_total	I-Leaf	I-Litter	ETaTotal
18.02.1995	18.9	0.0	18.9	0.21	0.19817326226072263	1.0	0.35	0.19817326226072263	18.701826737739275	18.701826737739275	0.0	0.0	18.701826737739275	0.0	18.701826737739275	14.435454075991991	12.270135964593193	0.0	204.52831966062521	0.0	204.52831966062521	1.0717555236973257	203.45656413692788	6.431690773146082	7.503446296843408	0.19817326226072263	0.0	0.19817326226072263
19.02.1995	4.0	0.0	4.0	0.21	0.23247724984442986	1.0	0.35	0.23247724984442986	3.76752275015557	3.76752275015557	0.0	0.0	3.76752275015557	0.0	3.76752275015557	11.63585896576803	3.2023943376322346	0.0	206.6589584745601	0.0	206.6589584745601	1.12646626258433	205.53249221197578	0.5651284125233356	1.6915946751076656	0.23247724984442986	0.0	0.23247724984442986
20.02.1995	3.0	0.0	3.0	0.21	0.7884033977530369	1.0	0.35	0.35	2.65	2.65	0.43840339775303694	0.0	2.65	0.0	2.65	11.116876947006055	2.2525	0.43840339775303694	207.78499221197578	0.43840339775303694	207.34658881422274	1.144413986622135	206.2021748276006	0.39749999999999996	1.541913986622135	0.35	0.0	0.7884033977530369
21.02.1995	17.0	0.0	17.0	0.21	0.22309670254649122	1.0	0.35	0.22309670254649122	16.776903297453508	16.776903297453508	0.0	0.0	16.776903297453508	0.0	16.776903297453508	10.94945629309985	9.307037849134872	0.0	215.50921267673547	0.0	215.50921267673547	1.368301455919483	214.14091122081598	7.469865448318636	8.838166904238118	0.22309670254649122	0.0	0.22309670254649122
22.02.1995	0.9	0.0	0.9	0.21	0.7241835148340575	1.0	0.35	0.35	0.55	0.55	0.37418351483405754	0.0	0.55	0.0	0.55	8.964772194796005	0.4675	0.37418351483405754	214.60841122081598	0.37418351483405754	214.23422770598194	1.3320134507014278	212.9022142552805	0.08250000000000002	1.4145134507014279	0.35	0.0	0.7241835148340575
23.02.1995	0.0	0.0	0.0	0.21	0.2133036377647642	1.0	0.35	0.2133036377647642	-0.2133036377647642	0.0	0.2133036377647642	0.0	0.0	0.0	0.0	9.274446436179872	0.0	0.2133036377647642	212.9022142552805	0.2133036377647642	212.68891061751575	1.2886851227192735	211.40022549479647	0.0	1.2886851227192735	0.0	0.0	0.2133036377647642
24.02.1995	0.0	0.0	0.0	0.21	0.36207346627128273	1.0	0.35	0.35	-0.35	0.0	0.36207346627128273	0.0	0.0	0.0	0.0	9.649943626300882	0.0	0.36207346627128273	211.40022549479647	0.36207346627128273	211.0381520285252	1.2431917687153295	209.79496025980987	0.0	1.2431917687153295	0.0	0.0	0.36207346627128273
25.02.1995	8.8	0.0	8.8	0.21	0.054583447342230626	1.0	0.35	0.054583447342230626	8.74541655265777	8.74541655265777	0.0	0.0	8.74541655265777	0.0	8.74541655265777	10.051259935047533	7.433604069759105	0.0	217.22856432956897	0.0	217.22856432956897	1.4180090582383695	215.8105552713306	1.3118124828986657	2.729821541137035	0.054583447342230626	0.0	0.054583447342230626
26.02.1995	0.3	0.0	0.3	0.21	0.29660051321927655	1.0	0.35	0.29660051321927655	0.0033994867807234375	0.0033994867807234375	0.0	0.0	0.0033994867807234375	0.0	0.0033994867807234375	8.54736118216735	0.0028895637636149217	0.0	215.8134448350942	0.0	215.8134448350942	1.3770324316751459	214.43641240341907	5.099230171085158E-4	1.3775423546922545	0.29660051321927655	0.0	0.29660051321927655
27.02.1995	2.2	0.0	2.2	0.21	0.5240314928054407	1.0	0.35	0.35	1.85	1.85	0.17403149280544072	0.0	1.85	0.0	1.85	8.890896899145233	1.5725	0.17403149280544072	216.00891240341906	0.17403149280544072	215.8348809106136	1.3776486598727236	214.45723225074087	0.2775000000000001	1.6551486598727236	0.35	0.0	0.5240314928054407
28.02.1995	6.6	0.0	6.6	0.21	0.42004444387805234	1.0	0.35	0.35	6.25	6.25	0.07004444387805236	0.0	6.25	0.0	6.25	8.885691937314782	5.3125	0.07004444387805236	219.76973225074087	0.07004444387805236	219.6996878068628	1.4910041623178862	218.20868364454492	0.9375	2.4285041623178865	0.35	0.0	0.42004444387805234
01.03.1995	0.2	0.0	0.2	0.21	0.772746182726835	1.0	0.35	0.35	-0.14999999999999997	0.0	0.572746182726835	0.0	0.0	0.0	0.0	7.94782908886377	0.0	0.572746182726835	218.20868364454492	0.572746182726835	217.6359374618181	1.4299164426072077	216.20602101921088	0.0	1.4299164426072077	0.20000000000000007	0.0	0.772746182726835
02.03.1995	1.6	0.0	1.6	0.21	0.8024545764398255	1.0	0.35	0.35	1.25	1.25	0.45245457643982556	0.0	1.25	0.0	1.25	8.44849474519728	1.0625	0.45245457643982556	217.26852101921088	0.45245457643982556	216.81606644277105	1.4060026082176584	215.4100638345534	0.1875	1.5935026082176584	0.35	0.0	0.8024545764398255
03.03.1995	0.9	0.0	0.9	0.21	1.0086673923704714	1.0	0.35	0.35	0.55	0.55	0.6586673923704714	0.0	0.55	0.0	0.55	8.64748404136165	0.4675	0.6586673923704714	215.8775638345534	0.6586673923704714	215.21889644218294	1.3599957359500736	213.85890070623287	0.08250000000000002	1.4424957359500736	0.35	0.0	1.0086673923704714
04.03.1995	0.1	0.0	0.1	0.21	0.7747742864050363	1.0	0.35	0.35	-0.24999999999999997	0.0	0.6747742864050363	0.0	0.0	0.0	0.0	9.035274823441782	0.0	0.6747742864050363	213.85890070623287	0.6747742864050363	213.18412641982783	1.3024922124939684	211.88163420733386	0.0	1.3024922124939684	0.09999999999999998	0.0	0.7747742864050363
05.03.1995	0.0	0.0	0.0	0.21	0.252794918367746	1.0	0.35	0.252794918367746	-0.252794918367746	0.0	0.252794918367746	0.0	0.0	0.0	0.0	9.529591448166535	0.0	0.252794918367746	211.88163420733386	0.252794918367746	211.6288392889661	1.2593766284164767	210.36946266054963	0.0	1.2593766284164767	0.0	0.0	0.252794918367746
